SNID,SURVEY,RA,DECL,SUBCLASS,REDSHIFT_FINAL,SIGMA_Z,LOG_HOSTMASS,GRIZ_MU,GRIZ_MU_ERR,GRIZ_AV,GRIZ_AV_ERR,GRIZ_THETA,GRIZ_THETA_ERR,GRIZ_T0,GRIZ_T0_ERR,GRIZ_REDCHI2,GRI_MU,GRI_MU_ERR,GRI_T0,GRI_T0_ERR,GRI_THETA,GRI_THETA_ERR,GRI_AV,GRI_AV_ERR,Z_MU,Z_MU_ERR,Z_THETA,Z_THETA_ERR,N_G_OBS,FIRST_G_OBS,N_R_OBS,FIRST_R_OBS,N_I_OBS,FIRST_I_OBS,N_Z_OBS,FIRST_Z_OBS
2016W,FOUNDATION,37.6654873,42.2359685,SNIa-norm,0.020206078699951818,6.7e-05,11.388,34.477106500000005,0.04736157585796757,0.22263273450000004,0.05622707063571585,1.2751348939999998,0.1444800422902027,57417.92709999999,0.19772604785398604,1.2102074632057538,34.4493855,0.06533920798226744,57417.9065,0.20583427800034357,1.34892236,0.1559486075888605,0.2398473061,0.0691462025289918,34.6233275,0.06491804890590915,0.9995837710000001,0.24975210067958697,7,57410.29056,7,57410.29097,7,57410.29132,7,57410.29168
2016afk,FOUNDATION,155.6245508,15.0966103,SNIa-norm,0.047436049908900636,6.7e-06,9.982,36.602949499999994,0.06324210907101416,0.2357976865,0.07206323904131237,-0.07510001477200001,0.1885016303645947,57439.8535,0.4905178386154925,1.134678610084512,36.5535867,0.07857190282225583,57439.6368,0.5712668028163275,-0.2212736169105,0.22354048536287902,0.2971897024,0.08921815806110377,36.7793918,0.0599144252476813,-0.1692429465352,0.32833981568830584,7,57437.39513,11,57437.39552,7,57437.39588,6,57437.39624
ASASSN-15bc,FOUNDATION,61.5609874,-8.8856098,SNIa-91T-like,0.03783951095927837,9.7e-05,10.187,36.017957499999994,0.044218971310400014,0.2491274293,0.061120930000100875,-0.55131147948,0.18124617297613624,57047.2167,0.3171610158894102,0.5426890934420965,36.050251900000006,0.05562996527403178,57047.3446,0.3313771869034554,-0.5315311635000001,0.17660158932901435,0.219928642724,0.06647044849864017,36.1483535,0.06277109085996518,-0.450135374148,0.39880495369919416,7,57042.21948,7,57042.21775,11,57042.21634,7,57042.21498
ASASSN-15bm,FOUNDATION,226.4647121,-5.6271005,SNIa-norm,0.020204677730751987,0.0001028,10.056,34.5038042,0.058549078407435194,0.40044025699999997,0.07710819482421405,-0.385336488787,0.3650352877685819,57053.9238,0.4460645244804594,0.18429803814106596,34.469315300000005,0.07484203241434592,57053.9008,0.4581695755939598,-0.42370338342800007,0.348318853251109,0.443914654,0.0866937564051546,34.6444277,0.1160584358101988,0.148588642019,0.8699783680378284,3,57049.65613,3,57049.65752,2,57049.65888,3,57055.66267
ASASSN-15fa,FOUNDATION,257.441766,62.9743041,SNIa-91T-like,0.027347419126868094,7.2e-06,11.268,35.2304957,0.047624184103352354,0.308652863,0.05619623423655922,0.872653372,0.16794494546202818,57104.304299999996,0.21389602614368397,1.4233916202792318,35.2924577,0.06366320900418078,57104.383700000006,0.2422484468474279,0.9226492909999999,0.1838750861174899,0.23773688629999998,0.07410636675707197,35.3415754,0.07325132104501611,0.85341642669,0.592614119255336,6,57102.63307,6,57102.63428,6,57102.63541,6,57102.63656
ASASSN-15fs,FOUNDATION,284.6699231,43.4688739,SNIa-norm,0.02915383548441369,4.7e-05,10.379,35.3065257,0.04484673889492975,0.14028347904,0.057437586906004895,-0.42180796629999995,0.13469730741267463,57112.993299999995,0.3702230543875426,1.3436848962824963,35.3333204,0.05479582852590138,57113.0517,0.3886091995822515,-0.35238238865300003,0.17459639510683514,0.106851457806,0.05999270780552879,35.289267,0.04896704045580036,-0.30611416698,0.22909942069165667,7,57110.63102,8,57110.63218,20,57110.63297,11,57110.63377
ASASSN-15ga,FOUNDATION,208.1596153,10.7180238,SNIa-91bg-like,0.007957905331961352,9e-06,11.557,33.199547900000006,0.055732063442779235,0.862012836,0.0631650546826891,1.92264646,0.13913790735334639,57113.874,1.8358660081825031,6.905510033457198,33.2955658,0.06798323227355406,57113.758299999994,2.0344264818372286,2.38025419,0.1819441413229453,0.658943922,0.08337440652269686,33.4085804,0.06079588453045169,2.21921233,0.2148025387938213,5,57112.51238,9,57112.51308,13,57112.51374,4,57121.35301
ASASSN-15go,FOUNDATION,92.8768856,-16.4841129,SNIa-norm,0.01877995876734164,0.00015,10.072,34.6153945,0.0677564253761221,0.67055204,0.09601023914097079,-1.772954039,0.37348096938852116,57122.0635,1.0240496814120172,2.313191206747004,34.6223851,0.09830669523481092,57122.0844,1.2059256361815354,-1.866451033,0.3918676211639817,0.6803873109999999,0.12447137632186879,34.8446283,0.10211916847051775,-0.8612085384839999,0.7240708551247763,4,57124.25841,4,57124.25913,4,57124.25979,4,57124.26046
ASASSN-15hg,FOUNDATION,148.4523991,9.1938997,SNIa-norm,0.03166163706493244,1.05e-05,10.507,35.7516471,0.04687671630553941,0.08937699923800001,0.05611773720644587,1.455679876,0.15599704541850984,57132.417199999996,0.4104194927144845,0.662561240482569,35.72185979999999,0.06543400892471737,57132.569,0.42182816406682033,1.290101251,0.18914018687818832,0.14538066061000002,0.0737688828203366,35.7823109,0.07554233165047256,1.743638131,0.27815807229186756,7,57133.24792,7,57133.24749,6,57133.24702,4,57150.29475
ASASSN-15hy,FOUNDATION,302.5097475,-0.7392229,SNIa-06gz-like,0.017256304693295522,0.00022,-9999.0,33.326936,0.042683103495411226,0.7268515090000001,0.057262679259146784,-0.626667407,0.12304491507216928,57153.421200000004,2.0478306961270873,7.350582599977094,33.3437318,0.07060970166174059,57157.7595,0.24221839319109464,-1.6444842899999998,0.2208288027959575,1.028469776,0.0764696513741878,33.507178599999996,0.05864765811215299,0.173977134252,0.3155413343359499,6,57144.58777,6,57144.5882,10,57144.58858,8,57144.58897
